version,name,live_body_md5,supabase_present,backend_present,supabase_definition,backend_definition,superseded,action
20260906174814,promote_market_explorer_v2_hybrid_with_legacy_rollback,4bb6421a811a49d26461fa3a20fc52a0,true,true,exact_normalized,exact_normalized,not_established,none
20260906180909,add_set_market_constituents_v2_shadow,b4e9c4c1d3f39748b1c798c6c20c0d82,true,true,exact_normalized,exact_normalized,not_established,none
20260906181344,align_set_market_v2_constituents_to_standard_print_contract,1e676fec8c419a6623ac350ecdf75675,true,true,exact_normalized,exact_normalized,not_established,none
20260906181721,add_set_market_constituent_v2_hybrid_shadow,de8a5fd260cf41c896918baa7ea9a383,true,true,exact_normalized,exact_normalized,not_established,none
20260906181824,promote_set_market_constituents_v2_hybrid,a48a8385b62bb43356066ea2f9540767,true,true,exact_normalized,exact_normalized,not_established,none
20260906182102,add_set_value_daily_rows_v2_hybrid_shadow,0de9fcbb73f7f5113aaf703726ebfb9d,true,true,exact_normalized,exact_normalized,not_established,none
20260906182327,add_member_set_value_v2_shadow_backfill_v2,e81a22947008ab1ea49fd7a6979af3e3,true,true,exact_normalized,exact_normalized,not_established,none
20260906182408,bound_member_set_value_v2_backfill_through_date,412e75821f50c0baf028162d0c9afe43,true,true,exact_normalized,exact_normalized,not_established,none
20260906183328,rollback_set_market_constituents_to_legacy_during_full_v2_acceptance,0601fa26840566c699b3349e65f5aa17,true,true,exact_normalized,exact_normalized,not_established,none
20260906183641,add_set_market_constituent_v2_full_history_acceptance,270d8f3936df3dce2a61fec9e70c64a4,true,true,exact_normalized,exact_normalized,not_established,none
20260906184522,add_set_market_constituent_legacy_exception_partition,dec08afb6fe28fe4a1a47190f013b520,true,true,exact_normalized,exact_normalized,not_established,none
20260906184615,promote_full_history_accepted_set_market_constituent_hybrid,1df8df00fd341dc6139384b96b0bd7cb,true,true,exact_normalized,exact_normalized,not_established,none
20260906184832,backup_set_value_daily_history_before_v2_repair,bfe060a04d7383892805415c99228f0a,true,true,exact_normalized,exact_normalized,not_established,none
20260906185315,add_safe_member_set_value_v2_shadow_publisher,18b418c3757639f47513d6844209abd4,true,true,exact_normalized,exact_normalized,not_established,none
20260906195219,add_acceptance_bounded_constituent_v2_guard,7000a649352e22bec44934db01c4c547,true,true,exact_normalized,exact_normalized,not_established,none
20260906195341,promote_acceptance_bounded_constituent_guard,6d43689bb6011e6b0728e036eb25c4a7,true,true,exact_normalized,exact_normalized,not_established,none
20260907055306,market_explorer_v2_daily_advance_and_cache_lease_heartbeat,aba0040ef7a8c601a74bf124f4fff2f5,true,true,formatting_equivalent,formatting_equivalent,not_established,none
20260907075615,stage_market_explorer_cache_from_detail,b4697f802e08e6b8bf8f847c306a4ec3,true,true,formatting_equivalent,formatting_equivalent,not_established,none
20260907174821,add_market_explorer_materialized_series_rpc,5bb9dac8aba17274dacc88f5e656ca78,true,true,formatting_equivalent,formatting_equivalent,not_established,none
20260907232036,guard_canonical_rollout_root_set_value_history,51b671b76503869eb16162d97d56726c,true,true,exact_normalized,exact_normalized,not_established,none
20260908052614,20260907200000_add_market_explorer_exact_instrument_foundation,ebc6ffff451c4d46e8d15670b65451ce,true,true,exact_normalized,exact_normalized,not_established,none
20260908053032,20260908054000_fix_market_explorer_v2_exact_variant_predicates,dcefe608e992a489f44bf5d565a0433f,true,true,exact_normalized,exact_normalized,not_established,none
20260908192748,reconcile_market_explorer_cache_publication,d17da9d4d9dcaf98a857ad51950b713a,true,true,formatting_equivalent,formatting_equivalent,not_established,none
