card_name,set_name,rarity,subject_name,market_price,predicted_price,predicted_log_price,log_price,card_scarcity,subject_demand,card_chase_appeal,pull_probability,alternative_printings_of_subject,set_age_days
Clawitzer,Mega Evolution,Illustration Rare,Clawitzer,1.97,8.12,2.09373,0.6780335427498971,0.6526756847233119,46.5196,0.0,0.0049504950495049506,1,292
Golisopod ex,Paradox Rift,Ultra Rare,Golisopod,1.96,6.44,1.86292,0.6729444732424258,0.8121410479178341,63.2126,0.21460989619438353,0.0023752969121140144,3,985
Mega Abomasnow ex,Mega Evolution,Ultra Rare,Abomasnow,1.96,2.01,0.69667,0.6729444732424258,0.7132556306822877,42.556,0.0,0.003745318352059925,2,292
Eiscue ex,Obsidian Flames,Ultra Rare,Eiscue Ice,1.96,2.31,0.83621,0.6729444732424258,0.6288392874345923,49.4969,0.0,0.0055248618784530384,3,1069
Lillie's Clefairy ex,Journey Together,Double Rare,Clefairy,1.94,1.11,0.10631,0.6626879730752367,0.4488135456452207,57.4096,0.06651057695625653,0.012658227848101266,3,474
Revavroom ex,Shrouded Fable,Ultra Rare,Revavroom,1.93,1.93,0.65881,0.6575200029167941,0.5730640178391191,38.5177,0.0,0.007142857142857143,2,712
Genesect ex,Black Bolt,Ultra Rare,Genesect,1.93,1.96,0.67048,0.6575200029167941,0.718875281410194,50.3035,0.004363572958159872,0.0036496350364963502,3,362
Varoom,Paldean Fates,Shiny Rare,Varoom,1.92,18.68,2.9272,0.6523251860396901,0.836970999317044,29.2496,0.0,0.00211864406779661,1,901
Iron Leaves ex,Temporal Forces,Ultra Rare,Iron Leaves,1.91,2.32,0.84007,0.6471032420585384,0.7156818820794937,27.2031,0.0,0.003703703703703704,4,845
Mega Camerupt ex,Mega Evolution,Ultra Rare,Camerupt,1.91,2.01,0.69667,0.6471032420585384,0.7132556306822877,46.4682,0.0,0.003745318352059925,2,292
Bombirdier ex,Paradox Rift,Ultra Rare,Bombirdier,1.9,2.75,1.01306,0.6418538861723947,0.8121410479178341,29.2496,0.0,0.0023752969121140144,2,985
Lapras ex,Stellar Crown,Double Rare,Lapras,1.86,2.08,0.73081,0.62057648772511,0.5126529326323852,64.8141,0.15188983618618832,0.009433962264150943,2,670
Doublade,Perfect Order,Illustration Rare,Doublade,1.86,5.24,1.65706,0.62057648772511,0.49561303784624744,39.707,0.0,0.01020408163265306,1,110
Watchog,Chaos Rising,illustration rare,Watchog,1.85,4.37,1.47523,0.6151856390902335,0.5064186123525862,40.0626,0.0,0.009708737864077669,1,54
Palafin ex,Twilight Masquerade,Ultra Rare,Palafin Zero,1.85,2.6,0.95401,0.6151856390902335,0.7512135599922163,40.5886,0.0,0.0031446540880503146,2,782
Team Rocket's Mewtwo ex,Ascended Heroes,Double Rare,Mewtwo,1.82,1.63,0.48609,0.598836501088704,0.6405166836238638,70.6367,0.26436301289881187,0.005235602094240838,2,166
Cyclizar ex,Surging Sparks,Ultra Rare,Cyclizar,1.8,2.53,0.92843,0.5877866649021191,0.7470772970092214,35.1202,0.0,0.003205128205128205,2,614
Quaquaval ex,Paldea Evolved,Ultra Rare,Quaquaval,1.79,2.43,0.88716,0.5822156198526637,0.7960883786979334,43.9032,0.0,0.0025575447570332483,4,1132
Gyarados ex,Scarlet and Violet Base Set,Double Rare,Gyarados,1.79,1.27,0.238,0.5822156198526637,0.46975962630930923,60.9528,0.10290366470081207,0.011494252873563218,2,1202
Mega Audino ex,Ascended Heroes,Ultra Rare,Audino,1.78,1.65,0.49883,0.5766133643039938,0.7319464944929537,55.3761,0.07870035098087139,0.003436426116838488,2,166
Magcargo ex,Twilight Masquerade,Ultra Rare,Magcargo,1.76,2.6,0.95401,0.5653138090500605,0.7512135599922163,40.7875,0.0,0.0031446540880503146,2,782
Empoleon ex,Phantasmal Flames,Ultra Rare,Empoleon,1.73,3.94,1.37164,0.5481214085096876,0.6621412276488463,60.2726,0.13603823950291075,0.004739336492890996,2,243
Greninja ex,Stellar Crown,Double Rare,Greninja,1.72,3.61,1.28361,0.5423242908253617,0.5126529326323852,75.1085,0.25743892318000494,0.009433962264150943,1,670
Walking Wake ex,Temporal Forces,Ultra Rare,Walking Wake,1.71,2.32,0.84007,0.5364933705145685,0.7156818820794937,40.002,0.0,0.003703703703703704,4,845
Palossand ex,Surging Sparks,Ultra Rare,Palossand,1.71,2.53,0.92843,0.5364933705145685,0.7470772970092214,39.3398,0.0,0.003205128205128205,2,614
Mismagius ex,Phantasmal Flames,Ultra Rare,Mismagius,1.7,3.99,1.38419,0.5306282510621704,0.6621412276488463,60.4903,0.13892120240809383,0.004739336492890996,2,243
Toedscruel ex,Paldean Fates,Shiny Ultra Rare,Toedscruel,1.67,5.26,1.66015,0.5128236264286637,0.5951658490851457,28.8975,0.0,0.0064516129032258064,2,901
